1/1/1990,194952,82083,215338,136832,123000,287499
2/1/1990,196273,87187,208399,136021,126900,300877
3/1/1990,194856,83889,208135,135835,127500,290151
4/1/1990,196111,85428,219004,134629,135500,288725
5/1/1990,195281,88749,209065,140823,138000,282626
6/1/1990,194410,87999,210606,139952,142000,305738
7/1/1990,193088,91346,225251,143127,145000,296195
8/1/1990,192180,95178,213478,143827,142000,284523
9/1/1990,189979,92500,211552,144070,139000,278301
10/1/1990,187630,96891,207801,139775,136700,272500
11/1/1990,192020,96052,202717,141311,135500,281249
12/1/1990,190375,87682,212855,139513,130000,272777
1/1/1991,192054,97856,197706,137571,130700,270161
2/1/1991,194806,96666,199157,134639,131000,270714
3/1/1991,202666,91364,207940,137607,137000,268055
4/1/1991,207718,92500,213442,134524,140000,279941
5/1/1991,211001,98939,218892,139903,139000,280319
6/1/1991,206722,97023,224055,141512,136800,291666
7/1/1991,206069,100233,230028,145495,140000,294339
8/1/1991,200340,98408,220858,147167,139900,286499
9/1/1991,197801,98973,231449,150449,135000,278921
10/1/1991,196021,103695,209256,143245,135000,275862
11/1/1991,194192,97499,202237,147576,130000,282608
12/1/1991,199452,93947,222829,138861,135000,279310
1/1/1992,196410,91364,213951,142836,134000,267262
2/1/1992,198220,99642,207018,143202,135000,268750
3/1/1992,200500,97571,218844,140770,132500,272222
4/1/1992,198700,98225,211762,137915,133500,281418
5/1/1992,203420,101636,204440,140051,132000,277419
6/1/1992,199460,103400,211278,144141,133000,288207
7/1/1992,199150,99827,221820,146234,132000,275819
8/1/1992,194670,96964,212099,142937,132000,279166
9/1/1992,195840,107368,212738,146806,131200,276666
10/1/1992,194000,104127,201149,141659,130000,265151
11/1/1992,189670,96606,207083,143193,130000,258019
12/1/1992,193330,94482,214005,138243,132500,258807
1/1/1993,191670,94444,207810,131548,129200,258772
2/1/1993,187440,98999,195681,137424,125500,251667
3/1/1993,189130,95178,198013,136932,130000,266101
4/1/1993,192600,96363,197547,131012,130000,265530
5/1/1993,188850,99473,188159,139332,131310,258846
6/1/1993,188650,94333,198428,140435,125600,267021
7/1/1993,190540,102500,209132,143932,132000,259052
8/1/1993,189010,98749,205319,140213,126500,259052
9/1/1993,186740,101552,204656,137652,125000,258019
10/1/1993,185920,100588,196762,135953,128000,262500
11/1/1993,184700,100476,192945,138110,124900,263983
12/1/1993,184980,101562,201134,134093,126000,265384
1/1/1994,183046,121094,194086,132347,125000,255435
2/1/1994,182258,106333,184741,136216,124000,251136
3/1/1994,185472,102830,184207,129582,129700,251705
4/1/1994,186968,101212,185304,129293,126500,270289
5/1/1994,185500,99867,175208,130624,128750,265086
6/1/1994,189680,109180,189800,132175,122000,272260
7/1/1994,188081,95199,197166,134878,129000,259804
8/1/1994,185790,96896,193129,130694,124000,258189
9/1/1994,185158,96841,199793,134489,118000,257954
10/1/1994,181862,105849,189198,130106,121000,247856
11/1/1994,180907,100000,188980,131497,122000,252419
12/1/1994,177421,99463,195359,129609,122000,261734
1/1/1995,177200,95624,186714,131987,119750,261666
2/1/1995,172974,91071,169600,124780,120000,257692
3/1/1995,175274,98845,163147,120319,120000,259375
4/1/1995,176768,100455,165889,126465,116775,264796
5/1/1995,176448,95869,156469,119391,115000,255102
6/1/1995,180649,103333,172655,123741,119990,277403
7/1/1995,180253,102727,180077,125336,121000,268055
8/1/1995,182467,103962,178717,124717,122000,269186
9/1/1995,180529,94375,186901,122114,120000,267222
10/1/1995,175861,97856,162525,122879,120000,245634
11/1/1995,176203,96249,159524,125909,119000,267262
12/1/1995,175372,94091,178186,120613,115000,256522
1/1/1996,174859,92954,175746,123441,111950,270833
2/1/1996,170860,93823,163158,114367,111000,263281
3/1/1996,175975,96071,161760,114996,117000,266279
4/1/1996,178536,96944,162025,117551,117000,284848
5/1/1996,179095,92258,154313,118500,118000,281122
6/1/1996,181191,96481,172152,124034,115000,275000
7/1/1996,182416,96406,174329,120010,117950,270339
8/1/1996,180825,92143,174590,122335,115000,271428
9/1/1996,179740,97499,191264,123204,115000,272857
10/1/1996,174454,90909,167848,116999,115000,255102
11/1/1996,175495,96911,161823,121391,110230,270833
12/1/1996,171940,92424,167550,119396,110000,276171
1/1/1997,175625,91053,170223,115047,113000,262778
2/1/1997,167790,96199,158193,117887,111090,271052
3/1/1997,177735,98599,157992,114835,117000,281632
4/1/1997,181218,90517,159912,114845,110000,280208
5/1/1997,185010,91154,156131,120155,116000,284648
6/1/1997,188801,96428,173522,122662,120000,285999
7/1/1997,190625,103000,176878,125145,122500,295672
8/1/1997,191856,100317,181888,126744,117000,315942
9/1/1997,191600,103095,192235,132009,115950,305634
10/1/1997,189283,97833,178860,127317,114000,293283
11/1/1997,190763,104117,167707,131273,116500,314286
12/1/1997,186555,104576,180722,121690,115000,335294
1/1/1998,188094,98157,176261,121908,114745,302586
2/1/1998,183898,95454,169043,129529,113000,304167
3/1/1998,193909,97878,167343,127575,118250,306849
4/1/1998,198252,95781,171035,123634,125000,348765
5/1/1998,202956,99705,167067,135223,129025,358426
6/1/1998,209003,100000,194120,125352,125652,331034
7/1/1998,210831,100135,200749,134728,126750,356521
8/1/1998,207780,101077,200735,129311,126000,341145
9/1/1998,202138,99031,210536,131600,125285,339423
10/1/1998,194961,98333,187040,131164,127340,335344
11/1/1998,197058,100462,181937,131690,116135,355101
12/1/1998,198121,102208,192491,121000,135137,349561
1/1/1999,202201,92045,185547,127189,120000,344303
2/1/1999,197870,97199,184903,123456,125298,340833
3/1/1999,212330,96590,181409,132576,129393,372825
4/1/1999,216490,105714,189528,135943,131576,382473
5/1/1999,220410,104117,184558,132275,131370,387999
6/1/1999,224678,105714,204441,138817,132135,431579
7/1/1999,220529,100642,206165,148392,131367,410145
8/1/1999,224195,99238,205611,144128,133231,398112
9/1/1999,218713,99545,220873,146455,135975,396874
10/1/1999,215822,97142,191884,142368,131481,387984
11/1/1999,218537,100000,188348,146715,134438,426530
12/1/1999,225264,100735,197781,136326,132652,434091
1/1/2000,226870,105000,200055,147298,132317,420213
2/1/2000,227155,91875,194814,152577,129354,458999
3/1/2000,233138,95945,190354,146922,135284,482786
4/1/2000,237057,101143,197372,144394,138234,538732
5/1/2000,240467,103780,184576,158249,142407,549157
6/1/2000,243102,105625,218166,154360,145424,576823
7/1/2000,242097,98584,224681,155636,149116,489024
8/1/2000,254686,111133,233351,162584,149339,523196
9/1/2000,246533,108169,245860,163774,149967,479729
10/1/2000,251217,118643,216145,162780,149878,513095
11/1/2000,250662,104531,213119,170758,152972,558219
12/1/2000,248354,106202,221340,162607,149827,551948
